question,category
What is the use of spring.main.lazy-initialization property?,Spring Boot
How do you configure multiple data sources in Spring Boot?,Spring Boot
What is the difference between spring.jpa.hibernate.ddl-auto=update and create-drop?,Spring Boot
How do you enable SQL query logging in Spring Boot?,Spring Boot
What is Spring Boot actuator /metrics endpoint used for?,Spring Boot
What is Micrometer in Spring Boot?,Spring Boot
How do you expose custom metrics in Spring Boot?,Spring Boot
How does Spring Boot integrate with Docker?,Spring Boot
What is the difference between JAR and WAR in Spring Boot?,Spring Boot
How do you configure CORS in Spring Boot?,Spring Boot
What is the difference between synchronous and asynchronous REST calls in Spring Boot?,Spring Boot
What is Spring Boot WebFlux?,Spring Boot
What is Spring Boot Security?,Spring Boot
How do you enable Spring Security in a Spring Boot application?,Spring Boot
What is the default security in Spring Boot applications?,Spring Boot
How do you override Spring Boot’s default login page?,Spring Boot
What is the difference between JWT and OAuth2 in Spring Security?,Spring Boot
What is the role of UserDetailsService in Spring Security?,Spring Boot
What is Spring Boot actuator /auditevents endpoint used for?,Spring Boot
How do you create a custom Actuator endpoint?,Spring Boot
How do you secure Actuator endpoints in Spring Boot?,Spring Boot
What is Spring Cloud Config in Spring Boot?,Spring Boot
How do you enable scheduling in Spring Boot?,Spring Boot
What is Spring Boot Batch?,Spring Boot
How do you monitor Spring Boot applications in production?,Spring Boot
How does Spring Boot’s auto-configuration internally work?,Spring Boot
How does Spring Boot handle circular dependencies?,Spring Boot
How do you implement custom conditional auto-configuration?,Spring Boot
What is the role of spring.factories in Spring Boot?,Spring Boot
How do you create a custom Spring Boot starter?,Spring Boot
How do you override a bean provided by auto-configuration?,Spring Boot
What is the difference between @ConditionalOnClass and @ConditionalOnMissingClass?,Spring Boot
How do you optimize startup time of a Spring Boot app?,Spring Boot
What is the difference between reactive and servlet-based Spring Boot applications?,Spring Boot
How does Spring Boot integrate with reactive databases?,Spring Boot
What are functional bean registrations in Spring Boot?,Spring Boot
What is Spring Native?,Spring Boot
How do you make Spring Boot work with GraalVM?,Spring Boot
How do you debug auto-configuration in Spring Boot?,Spring Boot
What is the role of ApplicationContextInitializer?,Spring Boot
What is SpringApplicationBuilder?,Spring Boot
What are layered jars in Spring Boot?,Spring Boot
How do you build Docker images using Spring Boot?,Spring Boot
What is the role of Actuator’s /heapdump endpoint?,Spring Boot
How do you expose sensitive Actuator endpoints securely?,Spring Boot
What is the difference between micrometer’s Counter and Gauge?,Spring Boot
How does Spring Boot support distributed tracing?,Spring Boot
How do you configure resilience patterns in Spring Boot microservices?,Spring Boot
How do you configure asynchronous logging in Spring Boot?,Spring Boot
What is the role of spring-boot-starter-data-rest?,Spring Boot
How do you prevent over-exposure in Spring Data REST?,Spring Boot
What are projections in Spring Data REST?,Spring Boot
How do you implement multi-tenancy in Spring Boot?,Spring Boot
What are schema-based and database-based multi-tenancy?,Spring Boot
How do you implement custom health indicators in Actuator?,Spring Boot
How do you use actuator’s /prometheus endpoint?,Spring Boot
How do you secure microservices communication in Spring Boot?,Spring Boot
How do you configure centralized logging in Spring Boot microservices?,Spring Boot
How do you scale Spring Boot applications horizontally?,Spring Boot
How does Spring Boot handle distributed caching?,Spring Boot
How do you implement custom starters with auto-configurable properties?,Spring Boot
What is the difference between @ConfigurationProperties and @Value?,Spring Boot
How do you validate configuration properties in Spring Boot?,Spring Boot
How do you implement rate limiting in Spring Boot?,Spring Boot
How do you enable distributed session management?,Spring Boot
What is actuator’s /threaddump endpoint used for?,Spring Boot
How do you configure zero-downtime deployment in Spring Boot apps?,Spring Boot
How do you secure REST APIs in Spring Boot with JWT?,Spring Boot
How do you refresh configuration without restarting Spring Boot?,Spring Boot
What is the difference between Spring Cloud Config and Consul/Zookeeper?,Spring Boot
How does Spring Boot handle reactive transactions?,Spring Boot
How do you handle backpressure in WebFlux?,Spring Boot
How do you test WebFlux controllers?,Spring Boot
How do you secure WebFlux applications?,Spring Boot
How do you optimize memory usage in Spring Boot?,Spring Boot
What is Apache Struts?,Struts
Which design pattern does Struts follow?,Struts
What is the role of the Struts framework in web applications?,Struts
Which file acts as the configuration file in Struts?,Struts
What is an Action class in Struts?,Struts
What is ActionForm in Struts?,Struts
What is the use of ActionServlet in Struts?,Struts
What is an ActionMapping in Struts?,Struts
How do JSP pages connect with Action classes in Struts?,Struts
Which tag library is commonly used in Struts JSP pages?,Struts
What is the difference between Struts 1 and Struts 2?,Struts
How do you define a form bean in Struts?,Struts
What is the purpose of validate() method in ActionForm?,Struts
How do you perform input validation in Struts?,Struts
What is the difference between Action and ActionForm?,Struts
How does Struts handle client requests?,Struts
What are global forwards in Struts?,Struts
What is the default scope of ActionForm in Struts?,Struts
How do you change ActionForm scope to request?,Struts
What is the purpose of Struts-config DTD?,Struts
How do you configure a Struts Action?,Struts
What is the difference between forward and redirect in Struts?,Struts
How do you handle exceptions in Struts?,Struts
What is the role of ActionForward?,Struts
How do you create reusable navigation rules in Struts?,Struts
What is the difference between Tiles and JSP in Struts?,Struts
What is Struts Validator Framework?,Struts
Which XML file is used by Validator framework?,Struts
What is the purpose of ApplicationResources.properties in Struts?,Struts
How do you display error messages in Struts?,Struts
What is the difference between struts-config.xml and web.xml?,Struts
What is the difference between reset() and validate() in ActionForm?,Struts
How do you define message resources in Struts?,Struts
What is the role of ActionErrors in Struts?,Struts
What is ActionMessages in Struts?,Struts
How do you prepopulate form fields in Struts?,Struts
What is DispatchAction in Struts?,Struts
How do you configure DispatchAction?,Struts
What is the difference between LookupDispatchAction and DispatchAction?,Struts
What is DynaActionForm in Struts?,Struts
What is the difference between ActionForm and DynaActionForm?,Struts
What are the advantages of DynaActionForm?,Struts
What is the purpose of PlugIn in Struts?,Struts
How do you configure a Struts PlugIn?,Struts
Can the Struts Action extension be changed?,Struts
How do you enable internationalization in Struts?,Struts
What is the purpose of Struts tag libraries?,Struts
Which types of tags does Struts provide?,Struts
What is the difference between Bean tag and HTML tag in Struts?,Struts
How do you handle multiple modules in Struts?,Struts
How does the Struts framework implement the Front Controller design pattern?,Struts
Can one Action class be mapped to multiple requests in Struts?,Struts
What is the difference between ActionForward and ActionRedirect?,Struts
How do you configure multiple Struts modules in one application?,Struts
What is the role of the RequestProcessor class in Struts?,Struts
How can you customize request processing in Struts?,Struts
Explain how exception handling is configured in Struts.,Struts
Can one ActionForm be used for multiple Action classes?,Struts
How do you define global exception handling in Struts?,Struts
What is the difference between declarative validation and programmatic validation in Struts?,Struts
How do you perform server-side validation in Struts?,Struts
Can you perform client-side validation in Struts?,Struts
What is the purpose of ActionMapping object passed to Action classes?,Struts
How do you manage resources in a multilingual Struts application?,Struts
What is the difference between ActionMessages and ActionErrors?,Struts
How does Struts handle thread safety in Action classes?,Struts
What are the limitations of Struts 1 framework?,Struts
How is Struts 2 better than Struts 1?,Struts
Can we integrate Struts with Hibernate?,Struts
How do you forward request data from Action to JSP?,Struts
How do you configure a custom tag library in Struts?,Struts
What is the purpose of the reset() method in ActionForm?,Struts
Can one JSP page be linked to multiple ActionForms?,Struts
What is the lifecycle of a Struts Action class?,Struts
How does Struts handle session management?,Struts
Can you call a business logic method directly from a JSP in Struts?,Struts
How do you share common logic across multiple Actions in Struts?,Struts
What is the difference between DispatchAction and LookupDispatchAction?,Struts
What are the benefits of using Validator framework over manual validation?,Struts
How do you configure custom validation rules in Struts?,Struts
Can you use multiple message resource bundles in Struts?,Struts
What happens if validation fails in Struts?,Struts
Can Struts Actions return JSON responses directly?,Struts
How do you enable logging in Struts applications?,Struts
How does Struts handle file uploads?,Struts
What is the purpose of the <plug-in> element in Struts?,Struts
Can Struts work without JSP?,Struts
How do you pass data between two Struts Actions?,Struts
What is the purpose of ActionServlet.destroy()?,Struts
How do you define reusable layouts in Struts applications?,Struts
What are the advantages of using Tiles in Struts?,Struts
Can you use multiple ActionServlets in one Struts app?,Struts
How does Struts Validator framework handle different locales?,Struts
What is the default scope of ActionErrors in Struts?,Struts
How do you configure maximum file size in Struts file upload?,Struts
Can Struts applications be integrated with Spring?,Struts
What is the difference between tiles-defs.xml and struts-config.xml?,Struts
How does Struts handle security concerns like CSRF or XSS?,Struts
What is the purpose of ActionFormBean in Struts?,Struts
How do you test Struts applications?,Struts
How does Struts internally handle request lifecycle from client to JSP response?,Struts
Explain how Struts achieves loose coupling between MVC layers.,Struts
What happens if multiple Actions share the same ActionForm in concurrent requests?,Struts
How can you integrate Struts with EJBs in a scalable application?,Struts
What are the performance bottlenecks in Struts applications and how to resolve them?,Struts
Can Struts support RESTful services out of the box?,Struts
